"from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"6815841748","Barack Obama","“It’s about a choice, a clear choice, between a system that’s rigged and a system that’s fair—a system that says everyone will be held accountable for their actions, not just the middle class. A system that trusts the workers on the line instead of listening to the folks up in the suites. Folks, that’s the choice. It’s a stark choice, and in my mind, it isn’t a choice at all.”—Vice President Biden in Toledo yesterday, talking about the impact the auto recovery is having on the economy in Ohio and around the country","2012-03-16T21:10:53+0000","photo","https://www.facebook.com/joebiden/photos/a.10150593582576104.380954.7860876103/10150593584691104/?type=1","6815841748_349887318383857",7408,1152,514
"6815841748","Barack Obama","President Obama’s decision to save the auto industry is putting Americans back to work—Ohio's a snapshot that tells that story. Click to see the full graphic from Obama for America - Ohio: http://OFA.BO/PqrUZY","2012-03-16T15:08:06+0000","photo","https://www.facebook.com/barackobama/photos/a.53081056748.66806.6815841748/10150632191866749/?type=1","6815841748_10150632191916749",7948,1301,1280
"6815841748","Barack Obama","Mitt Romney said yesterday: ""Planned Parenthood, we're going to get rid of that."" Stand with the only candidate in this presidential race who respects women's health care choices -- Barack Obama: http://OFA.BO/Us8au6","2012-03-14T19:15:08+0000","status",NA,"6815841748_10150628397881749",52731,4017,4075
"6815841748","Barack Obama","Emily developed a serious illness as a freshman in college—but thanks to the Affordable Care Act, she no longer has to worry about losing her coverage when she graduates: http://OFA.BO/deMZ1D","2012-03-14T01:12:17+0000","video","http://www.youtube.com/watch?v=9WOs-CLDUno","6815841748_317049875015490",22279,4806,2018
"6815841748","Barack Obama","President Clinton looks back at one of President Obama’s toughest decisions: http://OFA.BO/LqsnkL","2012-03-13T01:10:11+0000","video","http://www.youtube.com/watch?v=yC6MYiwIQjo","6815841748_342343705812490",16831,1948,2572
"6815841748","Barack Obama","""Leslie voted for Barack Obama in 2008, the first national election in which she was eligible to vote. She had no way of knowing then how critical that election would be to her personally; but she believed in Barack Obama then, and she believes in him now, more than ever."" —Bonnie on how the President's health care law has made crucial cancer treatments affordable for her 23-year-old daughter, Leslie: http://OFA.BO/DQqKFL","2012-03-12T15:44:39+0000","status",NA,"6815841748_10150623771881749",7370,1030,535
"6815841748","Barack Obama","When Scott got the chance to sit down for dinner with President Obama, he asked him who he would work for if he wasn’t the President. Check out what he said—then throw your hat in the ring for the next Dinner with Barack. There are only two seats left: http://OFA.BO/RVZqXi","2012-03-10T22:29:27+0000","video","http://www.youtube.com/watch?v=s4rGeAMPHYA","6815841748_271588232915578",9583,1840,754
"6815841748","Barack Obama","First look: The trailer for Academy Award-winning director Davis Guggenheim's look inside the Obama presidency as told by Joe Biden, Elizabeth Warren, and others who were there. Be the first to see the full thing: http://OFA.BO/zJZ899","2012-03-08T16:10:46+0000","video","http://www.youtube.com/watch?v=NXtJhLUOFXE","6815841748_258239487593021",14303,2532,3354
"6815841748","Barack Obama","Reggie Love may not be the President’s personal aide anymore, but he’s still an expert at defending the President’s jump shot—and he’s still got the President’s back. Find out why: http://OFA.BO/sop262","2012-03-07T16:00:59+0000","video","http://www.youtube.com/watch?v=7a5Ul1XUK_M","6815841748_364591816907817",7194,960,478
"6815841748","Barack Obama","""[My dad] always says 'Support your leaders and listen to their voices, and in turn, they'll listen to yours.' Turns out he was right about that.""—Janet followed her dad’s advice and her Obama 2012 donation got her invited to dinner with the President: http://OFA.BO/gofGgh","2012-03-07T02:11:12+0000","status",NA,"6815841748_10150613359221749",8189,1497,194
